epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,165.847,0.43732,0.59502,0.3288,0.82332,0,0.99569,1,0.995,0.93107,0.99569,1,0.995,0.84921,0.34792,0.48788,0.22993,0.70214,0,0.000955951,0.000955951,0.000955951
83,167.631,0.42481,0.59394,0.31617,0.81715,0,0.99498,1,0.995,0.92424,0.99498,1,0.995,0.84403,0.37437,0.50642,0.23296,0.70373,0,0.000870577,0.000870577,0.000870577
84,169.732,0.43444,0.58332,0.32403,0.82682,0,0.99508,1,0.995,0.92917,0.99508,1,0.995,0.84032,0.36789,0.50076,0.23786,0.70191,0,0.000789327,0.000789327,0.000789327
85,171.588,0.41596,0.57232,0.30731,0.81418,0,0.99472,1,0.995,0.92598,0.99472,1,0.995,0.83884,0.37037,0.49199,0.24303,0.70235,0,0.000712282,0.000712282,0.000712282
86,173.918,0.42516,0.61057,0.32037,0.81801,0,0.99382,1,0.995,0.92464,0.99382,1,0.995,0.83879,0.37206,0.52961,0.22876,0.70377,0,0.000639518,0.000639518,0.000639518
87,176.577,0.43794,0.60012,0.31666,0.82298,0,0.99375,1,0.995,0.94085,0.99375,1,0.995,0.8561,0.32911,0.47235,0.21633,0.69884,0,0.000571106,0.000571106,0.000571106
88,178.976,0.42669,0.5991,0.32391,0.81784,0,0.9945,1,0.995,0.93724,0.9945,1,0.995,0.84745,0.34036,0.47668,0.2178,0.70025,0,0.000507115,0.000507115,0.000507115
89,181.537,0.40325,0.54931,0.31602,0.81543,0,0.99496,1,0.995,0.92906,0.99496,1,0.995,0.85166,0.34026,0.4778,0.2191,0.70067,0,0.000447606,0.000447606,0.000447606
90,184.829,0.41853,0.58847,0.30974,0.80676,0,0.9951,1,0.995,0.94325,0.9951,1,0.995,0.85928,0.32386,0.46893,0.22402,0.69885,0,0.00039264,0.00039264,0.00039264
91,187.678,0.36323,0.53298,0.26612,0.79621,0,0.99454,1,0.995,0.9245,0.99454,1,0.995,0.8477,0.34536,0.49698,0.22695,0.70082,0,0.00034227,0.00034227,0.00034227
92,189.573,0.36472,0.54913,0.2718,0.79464,0,0.99447,1,0.995,0.92189,0.99447,1,0.995,0.84946,0.36519,0.4859,0.2241,0.70308,0,0.000296546,0.000296546,0.000296546
93,191.208,0.35776,0.5507,0.26117,0.79355,0,0.99492,1,0.995,0.92863,0.99492,1,0.995,0.85843,0.35972,0.47538,0.21815,0.70289,0,0.000255513,0.000255513,0.000255513
94,192.862,0.35532,0.53149,0.25889,0.79906,0,0.99553,1,0.995,0.9421,0.99553,1,0.995,0.85051,0.35109,0.47568,0.21941,0.70311,0,0.000219212,0.000219212,0.000219212
95,194.515,0.35834,0.54722,0.25446,0.79432,0,0.99561,1,0.995,0.93512,0.99561,1,0.995,0.84891,0.34751,0.47428,0.21935,0.70201,0,0.000187678,0.000187678,0.000187678
96,196.247,0.34852,0.54729,0.25243,0.80037,0,0.99554,1,0.995,0.93479,0.99554,1,0.995,0.85402,0.33972,0.47193,0.21287,0.70076,0,0.000160943,0.000160943,0.000160943
97,197.996,0.34752,0.55267,0.24929,0.78467,0,0.99538,1,0.995,0.93206,0.99538,1,0.995,0.85437,0.33585,0.47312,0.21093,0.70011,0,0.000139032,0.000139032,0.000139032
98,199.788,0.35445,0.53498,0.25565,0.78943,0,0.9951,1,0.995,0.94291,0.9951,1,0.995,0.85933,0.33084,0.46732,0.20562,0.6993,0,0.000121968,0.000121968,0.000121968
99,201.624,0.3403,0.53703,0.24692,0.78727,0,0.99495,1,0.995,0.94439,0.99495,1,0.995,0.85904,0.33291,0.47116,0.20381,0.69935,0,0.000109768,0.000109768,0.000109768
100,203.439,0.34663,0.52639,0.24851,0.79719,0,0.99492,1,0.995,0.9391,0.99492,1,0.995,0.85603,0.33279,0.47947,0.20136,0.69933,0,0.000102443,0.000102443,0.000102443
