epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,75.6625,1.30832,0.65012,1.17813,0.9761,0.85384,0.93471,0.48784,1.64962,0.82456,1.40605,0.00266532,0.00266532,0.00266532
68,76.7763,1.326,0.65105,1.19756,0.976,0.97185,0.98543,0.52376,1.55451,0.67513,1.3492,0.00253024,0.00253024,0.00253024
69,77.8734,1.34035,0.64573,1.22012,0.96141,0.98755,0.99211,0.53512,1.51058,0.61932,1.30783,0.00239766,0.00239766,0.00239766
70,78.9536,1.32471,0.64354,1.20164,0.96978,0.99629,0.99309,0.56723,1.44693,0.6186,1.27174,0.00226769,0.00226769,0.00226769
71,80.7211,1.33566,0.64344,1.19951,0.9717,0.99933,0.99337,0.56807,1.4771,0.59916,1.28586,0.00214046,0.00214046,0.00214046
72,82.7287,1.29622,0.62992,1.19997,0.971,1,0.99293,0.54511,1.49489,0.60848,1.30326,0.00201611,0.00201611,0.00201611
73,84.4097,1.29438,0.6271,1.20592,0.95233,1,0.99221,0.534,1.50945,0.6021,1.30802,0.00189475,0.00189475,0.00189475
74,85.479,1.31797,0.63478,1.18956,0.9324,0.97504,0.97895,0.54004,1.47372,0.59427,1.30834,0.00177651,0.00177651,0.00177651
75,86.5658,1.29589,0.60586,1.1842,0.9609,0.98889,0.99063,0.5436,1.47152,0.59488,1.30916,0.00166149,0.00166149,0.00166149
76,87.6923,1.30576,0.62099,1.18922,0.96984,0.99783,0.99179,0.54873,1.44503,0.57961,1.26625,0.00154982,0.00154982,0.00154982
77,88.7625,1.28731,0.63393,1.17182,0.95998,0.99713,0.99179,0.54428,1.44454,0.59585,1.26806,0.00144161,0.00144161,0.00144161
78,89.7445,1.28466,0.60791,1.16776,0.94735,0.99785,0.99132,0.55155,1.41731,0.57935,1.27253,0.00133695,0.00133695,0.00133695
79,90.7187,1.3277,0.63219,1.20663,0.95175,0.9969,0.98867,0.57082,1.43146,0.57556,1.27523,0.00123596,0.00123596,0.00123596
80,91.8326,1.28611,0.60868,1.17441,0.94961,0.99706,0.98794,0.56232,1.41883,0.58243,1.28547,0.00113873,0.00113873,0.00113873
